Type,Explanation,,,,,,,,,,,,,,,,,,,,,,,
5,"""if the hint was favorable not protection and vice versa""",,,,,,,,,,,,,,,,,,,,,,,
1,"""I always bought protection unless I was certain that I didn't need it (i.e. both gremlins were honest or it wasn't possible to get the black/white gremlin)""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I trusted honest golems fully, and did not put much stock in the swamp golems.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""my strategy was to just look at what the odds were""",,,,,,,,,,,,,,,,,,,,,,,
3,"""I looked at the percentages of white and black balls and made my guess off of that. Also, there was no big harm in buying protection, and there was a lot of harm if you did not buy protection and got a black ball. """,,,,,,,,,,,,,,,,,,,,,,,
4,"""I trusted my instinct.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""If the entire panel of gremlins was honest and they told me that the selection was white, I did not buy protection, since I could be certain that I would not lose money.  In any other scenario, I bought protection.  In my case, better to guarantee a $25 return every time than risk $20 for a $5 reward.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""if it is an honest one, i don't need to buy informed protection cuz i can't trust its hint.""",,,,,,,,,,,,,,,,,,,,,,,
1,"""I think the gremlins were confusing, but if you see how many gremlins were. Then from that how many of each type where and what they say, after that you based that to the actual percentage of balls you get close to the answer.""",,,,,,,,,,,,,,,,,,,,,,,
5,"""I am a little bit more risky so I chose to not get protection if any of the monsters said it was white because I felt the probability of one of the honest ones getting picked was higher and if they said it was black I bough protection.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""i used probablity and if the odds were more in favor i would mae a decision based on that and the ball probabilty color""",,,,,,,,,,,,,,,,,,,,,,,
2,"""If the hint was from one of the honest gremlins then I didn't choose to protect because they could only tell the truth. If there were any just black or just white gremlins then I decided to protect because the information they give isn't helpful """,,,,,,,,,,,,,,,,,,,,,,,
1,"""See the quantity of hints and the percentage of drawing the colors of the balls. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""I would calculate the probability that the gremlins were right. So in task two, I already did task 3. Like if there were two black/white gremlins, I would add the probability that they were right to the certainly that the honest gremlin was right.  """,,,,,,,,,,,,,,,,,,,,,,,
1,"""I would see what the probability that they are telling the truth is and then see if they were saying black. if no one was the black swamp monster then I knew it was black and therefore it would be 100%""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I looked at the box of balls and the box of gremlins.  If the gremlins were honest or white, I would not use protection for a white ball. If the ball was black I would sometimes take my chances depending on the amount of white and black balls.  If they were honest or black, I would use protection for a black ball. If the ball was white, I would not use protection since there were mostly honest gremlins.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I weighed the cost of loosing money and percentage difference with that chances of getting a white ball.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I weighed my odds. I knew they were in my favor.""",,,,,,,,,,,,,,,,,,,,,,,
1,"""When I paid attention to the composition of the box and saw the gremlins, that helped to inform my decision on whether to buy protection. For example, if I saw the box had equal numbers of both black and white ball and two honest gremlins were there, I did not buy protection. When I saw a box with a larger amount of black than white balls and had a white-swamp gremlin with four honest gremlins, I opted to buy protection.""",,,,,,,,,,,,,,,,,,,,,,,
3,"""I would the probability of one of the balls being picked. If the chances were not likely than I would not protect it. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""I looked at what percentage of gremlins were honest and used that info in my decisions.""",,,,,,,,,,,,,,,,,,,,,,,
3,"""Instinct and possibility of either white or black being picked""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I took protection when there was a higher chance of drawing out black balls.""",,,,,,,,,,,,,,,,,,,,,,,
5,"""If all glimpses are honest, then choose not to protect on each color. If most are honest and one is black, then choose not to protect white color. If the one is white, then choose not to protect black because we know white one always say white, so black color should be the truth.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I based my decision on the probability  of the honest gremlin being chosen.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I would base my answers off of how many honest goblins there were.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I chose the best odds""",,,,,,,,,,,,,,,,,,,,,,,
6,"""If it was more than approximately a 70% chance of drawing a black ball, I decided to protect. The cost to protect outweighed the potential loss of not protecting. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""If the gremlin was honest then I did not buy protection because they were accurate in telling me the color of the ball.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""If there were only honest gremlins then I never protected but even if there was one white-swamp gremlin or one black-swamp gremlin then I payed for protection. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""If the gremlins were honest, I didn't buy protection. If there were swap gremlins, I calculated the chance of getting a hint from a swap gremlin and considered that along with the chance of getting a black ball. If the total chance of getting a black ball was more than 15% I get protection.""",,,,,,,,,,,,,,,,,,,,,,,
